Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
625,0,0,8532,2,1392,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998110816927905,0.0,0.007484128575477114,0.007484128575477114,186,0.51
626,0,0,8542,2,1390,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998110595504667,0.0,0.007484128575477114,0.007484128575477114,186,0.51
627,0,0,8534,2,1377,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998112807404099,0.0,0.007484128575477114,0.007484128575477114,186,0.51
628,0,0,8545,2,1372,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998111038299251,0.0,0.007484128575477114,0.007484128575477114,186,0.51
629,0,0,8537,2,1396,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998113469964401,0.0,0.007484128575477114,0.007484128575477114,186,0.51
630,0,0,8533,2,1391,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998111702102122,0.0,0.007484128575477114,0.007484128575477114,186,0.51
631,0,0,8525,2,1402,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998110816927905,0.0,0.007484128575477114,0.007484128575477114,186,0.51
632,0,0,8524,2,1403,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998109044087485,0.0,0.007484128575477114,0.007484128575477114,186,0.51
633,0,0,8535,2,1400,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998108822248453,0.0,0.007484128575477114,0.007484128575477114,186,0.51
634,0,0,8522,2,1409,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998111259618724,0.0,0.007484128575477114,0.007484128575477114,186,0.51
635,0,0,8507,2,1416,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.99981083784142,0.0,0.007484128575477114,0.007484128575477114,186,0.51
636,0,0,8506,2,1419,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998105043005268,0.0,0.007484128575477114,0.007484128575477114,186,0.51
637,0,0,8492,2,1428,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998104820226407,0.0,0.007484128575477114,0.007484128575477114,186,0.51
638,0,0,8488,2,1426,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998101695813214,0.0,0.007484128575477114,0.007484128575477114,186,0.51
639,0,0,8479,2,1418,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998100801230656,0.0,0.007484128575477114,0.007484128575477114,186,0.51
640,0,0,8502,2,1408,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998098785333862,0.0,0.007484128575477114,0.007484128575477114,186,0.51
641,0,0,8510,2,1415,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998103928586899,0.0,0.007484128575477114,0.007484128575477114,186,0.51
642,0,0,8490,2,1423,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.999810571102771,0.0,0.007484128575477114,0.007484128575477114,186,0.51
643,0,0,8493,2,1417,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998101248627305,0.0,0.007484128575477114,0.007484128575477114,186,0.51
